name;spelling;age;country;start_year;end_year;played_1v1;played_tg;Higest voobly rating;earnings;Top 4 s-tier finishes;teams
TheViper;viper;12/13/91;no;2011;-1;2002;176;2729;351051.99;;Knights of the Realm, BuzZ, Revenge of Knight, TyRanT, Team Secret, GamerLegion
Hera;;10/14/99;ca;2013;-1;4466;1096;2673;322072.04;;WolfpacK, The Immortals, Heresy, Aftermath, Tempo Storm, Aftermath, GamerLegion
Liereyy;;01/01/02;at;2016;-1;1055;54;2625;232812.43;;CZ,Aftermath,Tempo Storm,WeSports
TaToH;;12/14/89;es;2001;-1;1052;2298;2630;215652.23;;WolfpacK,TyRanT,Team Secret,GamerLegion
Yo;mr_yo,mr yo;10/15/92;cn;2011;-1;3584;1293;2693;175304.47;;SY,YinYang,White Wolf Palace,LingYuan
DauT;;07/30/85;rs;2002;-1;2895;189;2638;160556.92;;The Legion Clan,ArgoNaut,CsI,Viper,TyRanT,,Team Secret,GamerLegion
JorDan_AoE;Jordan_23,Jordan;12/11/91;de;2002;2024;556;90;2546;109372.08;;RuFF,Viper,Revenge of Knight,TyRanT,Team Secret,GamerLegion
MbL;;07/19/94;no;2013;-1;6088;436;2742;102581.54;;Run Forrest Run,WolfpacK,Nadya's Boys,Aftermath,Taiwan Aoe Gamer
ACCM;;09/28/89;vn;2005;-1;3901;258;2550;83941.70;;Vietnam Legends,mYinsanity
Villese;;11/30/94;fi;2014;-1;3492;842;2568;82873.35;;Suomi
